feature,development/fold_01,development/fold_02,development/fold_03,final_test/fold_01,final_test/fold_02,final_test/fold_03,final_test/fold_04,final_test/fold_05,final_test/fold_06
ff_loan_brkr,True,True,True,True,True,True,True,True,True
ff_loan_comml_indl,True,True,True,True,True,True,True,True,True
ff_loan_cons,True,True,True,True,True,True,True,True,True
ff_loan_decr_cf,True,True,True,True,True,True,True,True,True
ff_loan_deps,True,True,True,True,True,True,True,True,True
ff_loan_for,True,True,True,True,True,True,True,True,True
ff_loan_gr,True,True,True,True,True,True,True,True,True
ff_loan_gross,True,True,True,True,True,True,True,True,True
ff_loan_incr_cf,True,True,True,True,True,True,True,True,True
ff_loan_loss_prov,True,True,True,True,True,True,True,True,True
ff_loan_loss_prov_pct,True,True,True,True,True,True,True,True,True
ff_loan_loss_rsrv_assets,True,True,True,True,True,True,True,True,True
ff_loan_loss_rsrv_pct,True,True,True,True,True,True,True,True,True
ff_loan_loss_rsrv_tcap,True,True,True,True,True,True,True,True,True
ff_loan_mtge,True,True,True,True,True,True,True,True,True
ff_loan_net,True,True,True,True,True,True,True,True,True
ff_loan_nonperf,True,True,True,True,True,True,True,True,True
ff_loan_oth,True,True,True,True,True,True,True,True,True
ff_loan_rsrv,True,True,True,True,True,True,True,True,True
ff_loan_tcap,True,True,True,True,True,True,True,True,True
ff_loss_adj_exp,True,True,True,True,True,True,True,True,True
ff_loss_claim_exp,True,True,True,True,True,True,True,True,True
ff_loss_claim_rsrv,True,True,True,True,True,True,True,True,True
ff_loss_ratio,True,True,True,True,True,True,True,True,True
ff_min_pens_liabs_adj,True,True,True,True,True,True,True,True,True
ff_misc_net_oth,True,True,True,True,False,False,False,False,False
ff_mkt_exp,True,True,True,True,True,True,True,True,True
ff_net_cap_require,True,True,True,True,True,True,True,True,True
ff_net_inc_cf,True,True,True,True,True,True,True,True,True
ff_net_int_inc_earn_assets,True,True,True,True,True,True,True,True,True
ff_non_cash,True,True,True,True,True,True,True,True,True
ff_non_int_exp,True,True,True,True,True,True,True,True,True
ff_non_int_inc,True,True,True,True,True,True,True,True,True
ff_non_int_inc_rev,True,True,True,True,True,True,True,True,True
ff_nonperf_loan_com_eq,True,True,True,True,True,True,True,True,True
ff_nonperf_loan_loss_rsrv,True,True,True,True,True,True,True,True,True
ff_nonperf_loan_pct,True,True,True,True,True,True,True,True,True
ff_notes_receiv_lt,True,True,True,True,True,True,True,True,True
ff_oper_inc_aft_int,True,True,True,True,True,True,True,True,True
ff_oper_inc_bef_int,True,True,True,True,True,True,True,True,True
ff_oper_inc_prem_earn,True,True,True,True,True,True,True,True,True
ff_oper_lease_exp,True,True,True,True,True,True,True,True,True
ff_oper_lease_repay,True,True,True,True,True,True,True,True,True
ff_oper_prov,True,True,True,True,True,True,True,True,True
ff_ordinary_inc,True,True,True,True,True,True,True,True,True
ff_oth_unusual_exp,True,True,True,True,True,True,True,True,True
ff_oth_xcept_chrg,True,True,True,True,True,True,True,True,True
ff_pay_acct,True,True,True,True,True,True,True,True,True
ff_pay_acct_cf,True,True,True,True,True,True,True,True,True
ff_pay_acct_sales,True,True,True,True,True,True,True,True,True
ff_pay_div,True,True,True,True,True,True,True,True,True
ff_pay_tax,True,True,True,True,True,True,True,True,True
ff_pay_tax_cf,True,True,True,True,True,True,True,True,True
ff_pay_tax_dfd_tax,True,True,True,True,True,True,True,True,True
ff_pay_turn_days,True,True,True,True,True,True,True,True,True
ff_pens_bnfit_retir_post,True,True,True,True,True,True,True,True,True
ff_pfcf_dil,True,True,True,True,True,True,True,True,True
ff_pol_claims,True,True,True,True,True,True,True,True,True
ff_ppe_dep,True,True,True,True,True,True,True,True,True
ff_ppe_dep_soft_equip,True,True,True,True,True,True,True,True,True
ff_ppe_gross,True,True,True,True,True,True,True,True,True
ff_ppe_gross_constr,True,True,True,True,True,True,True,True,True
ff_ppe_gross_soft_equip,True,True,True,True,True,True,True,True,True
ff_ppe_impair,True,True,True,True,True,True,True,True,True
ff_ppe_net_soft_equip,True,True,True,True,True,True,True,True,True
ff_prem_earn,True,True,True,True,True,True,True,True,True
ff_prem_receiv,True,True,True,True,True,True,True,True,True
ff_prem_unearn,True,True,True,True,True,True,True,True,True
ff_prep_exp,True,True,True,True,True,True,True,True,True
ff_prov_risk,True,False,False,False,False,False,False,False,False
ff_quick_ratio,True,True,True,True,True,True,True,True,True
ff_rd_exp,True,True,True,True,True,True,True,True,True
ff_rd_sales,True,True,True,True,True,True,True,True,True
ff_real_gain,False,False,False,False,False,False,True,True,True
ff_receiv_cf,True,True,True,True,True,True,True,True,True
ff_receiv_curr_assets,True,True,True,True,True,True,True,True,True
ff_receiv_gross,True,True,True,True,True,True,True,True,True
ff_receiv_int,True,True,True,True,True,True,True,True,True
ff_receiv_net,True,True,True,True,True,True,True,True,True
ff_receiv_st,True,True,True,True,True,True,True,True,True
ff_receiv_st_oth,True,True,True,True,True,True,True,True,True
ff_receiv_tot,True,True,True,True,True,True,True,True,True
ff_receiv_turn,True,True,True,True,True,True,True,True,True
ff_receiv_turn_days,True,True,True,True,True,True,True,True,True
ff_reins_contract_assets,True,True,True,True,True,True,True,True,True
ff_reins_contract_exp,True,True,True,True,True,True,True,True,True
ff_reins_contract_liabs,True,True,True,True,True,True,True,True,True
ff_reins_exp,True,True,True,True,True,True,True,True,True
ff_reins_fin_exp,True,True,True,True,True,True,True,True,True
