boot_delta,null_delta
0.0034174387958773042,0.0032788001674154145
-0.0021484767393663254,-0.002287115367828215
-0.015660912518484157,-0.015799551146946048
1.7126791827065188e-05,-0.00012151183663482455
-0.0058426948968202125,-0.005981333525282103
0.0004697358018791146,0.00033109717341722484
0.007356308549091211,0.0072176699206293205
-0.005256113625826432,-0.005394752254288322
-0.003100517521929966,-0.0032391561503918556
0.0016221143213470865,0.0014834756928851969
-0.006906802619280832,-0.0070454412477427225
0.004312928144553353,0.004174289516091463
-0.00998408452134003,-0.01012272314980192
-0.0020690185485490627,-0.0022076571770109524
-0.006369282543958587,-0.006507921172420477
0.0008899249258966616,0.0007512862974347718
-0.0274069888304121,-0.02754562745887399
0.004910370858160314,0.004771732229698424
-0.018429164505919946,-0.018567803134381836
0.005175587246842696,0.005036948618380806
-0.010381430876584096,-0.010520069505045986
0.003437987893415506,0.0032993492649536164
-0.005767143895669089,-0.005905782524130979
-0.010104364293764405,-0.010243002922226295
-0.012904030476971506,-0.013042669105433396
-0.0067265327158839185,-0.006865171344345809
-0.01016650420882314,-0.01030514283728503
-0.010585622999616956,-0.010724261628078846
0.0039820616084434496,0.00384342297998156
-0.003938944926558277,-0.004077583555020167
0.009044093758634473,0.008905455130172582
-0.0048373857703625026,-0.004976024398824393
0.0017845953040249748,0.0016459566755630851
-0.006241993177663917,-0.006380631806125807
0.009846729940680516,0.009708091312218626
0.014859377588401793,0.014720738959939902
0.0069781994449843255,0.006839560816522435
0.010376254791105191,0.010237616162643301
-0.00792774843322323,-0.00806638706168512
0.00881150109351596,0.00867286246505407
-0.007919117308828692,-0.008057755937290582
0.005131633267329193,0.0049929946388673025
-0.034454044640875356,-0.034592683269337246
-0.017393062456397435,-0.017531701084859325
-0.017340882090636597,-0.017479520719098487
-0.016425383705796496,-0.016564022334258386
-0.0024003329469446904,-0.00253897157540658
0.0012324941203718306,0.0010938554919099409
-0.009006409835893016,-0.009145048464354906
0.007535087476132649,0.007396448847670759
-0.008645363848106602,-0.008784002476568492
-0.012528589453751127,-0.012667228082213017
-0.01748698297582033,-0.01762562160428222
-0.011862394947161414,-0.012001033575623304
0.003121045647666114,0.0029824070192042244
-0.0016226692290786612,-0.0017613078575405509
-0.011103672846884684,-0.011242311475346574
-0.02162745811455671,-0.0217660967430186
-0.001059013127170993,-0.0011976517556328828
-0.009874725292399092,-0.010013363920860982
-0.013414146871365402,-0.013552785499827292
0.006315899114946575,0.0061772604864846845
-0.009269362316542006,-0.009408000945003896
-0.00958985913751052,-0.00972849776597241
0.0008583311221315956,0.0007196924936697059
-0.0009772124708183967,-0.0011158510992802864
0.0011874194777601235,0.0010487808492982338
-0.015408893470458911,-0.015547532098920801
-0.004563112141554469,-0.004701750770016359
0.013165550436791337,0.013026911808329447
0.003550892043523764,0.0034122534150618743
-0.00849423374449022,-0.00863287237295211
-0.012025307575268736,-0.012163946203730626
0.0025026198583517553,0.0023639812298898656
-0.02073522187288098,-0.02087386050134287
-0.012641623467838762,-0.012780262096300652
0.001484544219883538,0.0013459055914216483
0.009818802482713555,0.009680163854251665
-0.013244712756353479,-0.013383351384815369
0.016312094650181932,0.01617345602172004
-0.02193791552893067,-0.02207655415739256
-0.000827570502458157,-0.0009662091309200467
0.005427542764485429,0.005288904136023539
-0.01696866660083313,-0.01710730522929502
-0.018206377162400623,-0.018345015790862514
0.01124448698771551,0.01110584835925362
-0.01028272668296111,-0.010421365311423
-0.014210866853874255,-0.014349505482336145
0.007244311983042545,0.007105673354580655
-0.005818148709434668,-0.005956787337896558
0.010449498600994965,0.010310859972533075
-0.008023308244211593,-0.008161946872673484
0.003520003292727842,0.003381364664265952
-0.011550687071987812,-0.011689325700449702
0.001994650761321025,0.0018560121328591354
0.0011625474186639133,0.0010239087902020236
0.0124386104492667,0.01229997182080481
-0.007712896530929833,-0.007851535159391724
-0.01270193222746196,-0.01284057085592385
-0.0020866378791281445,-0.0022252765075900342
0.005340364717084891,0.005201726088623001
-0.013641192874670683,-0.013779831503132573
-0.01483875260913288,-0.01497739123759477
-0.013727353135205565,-0.013865991763667455
-0.005962581353430025,-0.006101219981891915
-0.0040665565259159564,-0.0042051951543778466
-0.0037911644011674214,-0.003929803029629311
-0.0024995304513016426,-0.0026381690797635323
-0.0154141230831559,-0.01555276171161779
0.0040736754501891495,0.003935036821727259
0.0019305929046003606,0.001791954276138471
-0.015725668650216025,-0.015864307278677915
-0.02721321109609789,-0.02735184972455978
0.018361609154427472,0.01822297052596558
-0.008993610710113146,-0.009132249338575036
0.004650024612070142,0.004511385983608252
-0.0030360494168192274,-0.003174688045281117
-0.0025950555840868277,-0.0027336942125487174
-0.002791937367436196,-0.0029305759958980857
-0.003804297259505204,-0.003942935887967094
-0.0054915134468855875,-0.005630152075347478
-0.0010553019062904273,-0.001193940534752317
-0.0037578359180268366,-0.0038964745464887263
-0.012694938883115276,-0.012833577511577167
-0.0027761452992811956,-0.0029147839277430853
-7.816579923127126e-06,-0.00014645520838501688
0.005712787915848493,0.005574149287386603
0.0034652997975521994,0.0033266611690903098
-0.002776007236830827,-0.002914645865292717
-0.006318170091226839,-0.006456808719688729
-0.006241346906973035,-0.006379985535434925
-0.010172872174093826,-0.010311510802555716
-0.0217701275684563,-0.02190876619691819
-0.00828554437738702,-0.00842418300584891
-0.007808242281101124,-0.007946880909563013
-0.014458969848892687,-0.014597608477354578
-0.005240215071752987,-0.005378853700214877
-0.0015155096828655308,-0.0016541483113274205
-0.002854534444187764,-0.0029931730726496537
-0.026484435933221022,-0.026623074561682912
-0.0026475018382189418,-0.0027861404666808314
-0.008800523691074851,-0.008939162319536741
0.004328716777060258,0.004190078148598368
-0.005674540634210757,-0.0058131792626726474
-0.010430168952363835,-0.010568807580825726
0.004080544652527353,0.0039419060240654625
-0.00697098853411817,-0.00710962716258006
0.012216088257844673,0.012077449629382783
-0.0027934744471170268,-0.0029321130755789165
-0.002925221076824374,-0.003063859705286264
0.004729860908641231,0.0045912222801793405
-0.009482458150383788,-0.009621096778845678
-0.008397181951217848,-0.008535820579679738
0.0026559993211963955,0.0025173606927345058
-0.007713227599697876,-0.007851866228159766
-0.003945923658079751,-0.004084562286541641
